feature,rank_value
max_mgi_kid,5.0
gnomad_max_af,2.5
gtex_liver,1.6666666666666665
fetal_kidney_tau,1.2
no_paralogues_75,1.05
gnomad_oe_syn,0.7857142857142857
avg_phasCons_promoter,0.7619047619047619
gtex_kidney,0.5611111111111111
avg_phasCons_exons,0.5520202020202021
gtex_testis,0.5242424242424242
gnomad_mis_z,0.49772727272727274
gtex_esophagus,0.3935897435897436
gnomad_syn_z,0.3711080586080586
gtex_adipose_tissue,0.3519230769230769
gtex_retina,0.30510590200992677
gnomad_oe_mis_pphen,0.29645445134575565
gtex_adrenal_gland,0.2954248366013072
gnomad_n_sites,0.29468623481781375
gnomad_possible_mis_pphen,0.28748832866479923
gtex_salivary_gland,0.25818713450292397
CL_1001432_me,0.24945887445887446
gnomad_classic_caf,0.24548872180451126
gnomad_oe_mis,0.20887011039934578
prom_CpG_o2e_ratio,0.20875139353400224
gtex_pancreas,0.2008592132505176
gtex_fallopian_tube,0.1943040293040293
ureteric_bud_nTPM,0.18427111840904944
gnomad_mu_syn,0.16709565339783555
gnomad_exp_mis_pphen,0.16568262207861761
gnomad_obs_syn,0.16371052010651566
gtex_brain_median,0.15895489709531455
gnomad_obs_mis_pphen,0.15701860091459646
gtex_tau,0.15677910052910052
CL_1001431_me,0.15177450177450177
gnomad_num_coding_exons,0.1475986975986976
gtex_skin,0.13868374272786038
gnomad_mu_mis,0.13785830101619576
gnomad_gene_length,0.1312063943642891
CL_0002306_me,0.12731157731157733
gnomad_pNull,0.12355292332827635
gtex_vagina,0.12267732739939206
avg_exon_CpG_o2e_ratio,0.12204056106495131
gnomad_pRec,0.11833206203915586
gtex_prostate,0.11239782734799346
gnomad_possible_syn,0.10567912487227392
CL_1000768_me,0.10495868518124599
CL_0000115_me,0.10377653747218965
metanephric_nTPM,0.10343960419858406
gnomad_mu_lof,0.10323283858998145
no_paralogues_95,0.10247887033601319
CL_1001106_me,0.09914696611505122
CL_1001111_me,0.09753096331980314
ureteric_bud_perc_expr,0.09629651834345032
CL_1001431_pc,0.09367421992781763
no_paralogues_85,0.09310746724539828
CL_0002306_pc,0.09218482714723315
gnomad_possible_mis,0.08845945888728526
mesangial_nTPM,0.08811802232854864
mesangial_perc_expr,0.08267538033756619
gnomad_oe_lof,0.0826569511203691
gnomad_p,0.08178619841926293
CL_1001106_pc,0.0815098859373919
gtex_skeletal_muscle,0.08119958365860006
gtex_cervix,0.07786095543922208
CL_1001432_pc,0.07704732678226976
gnomad_cds_length,0.07686597477286046
gnomad_possible_lof,0.0762516282736871
metanephric_perc_expr,0.07476416618207662
gtex_spleen,0.07470100498393338
gnomad_obs_mis,0.0708592408601488
gtex_thyroid_gland,0.06992866288640937
gnomad_obs_lof,0.06944980384590649
vascular_endothelial_perc_expr,0.06826407360572101
CL_1001107_me,0.0680033208800332
CL_1001318_pc,0.06720720720720721
CL_1001318_me,0.0651213513949363
gtex_lung,0.06401239734573068
CL_1000692_me,0.0638866332298384
gtex_heart_muscle,0.06355262613205778
CL_1001111_pc,0.06298670465337132
gnomad_exp_mis,0.0597717700068567
CL_0000653_pc,0.05925394548063127
gtex_ovary,0.05887780659177342
gtex_small_intestine,0.05843986523448558
CL_1000768_pc,0.05832876569310678
vascular_endothelial_nTPM,0.05783416239308649
gtex_breast,0.05749883186742886
gtex_endometrium,0.0573566638992276
CL_1000849_pc,0.056412886549740804
stromal_perc_expr,0.05594914009160833
gnomad_exp_syn,0.055634788819146366
CL_1001107_pc,0.05449880831471951
gtex_pituitary_gland,0.05362944786807268
CL_1000452_me,0.053166359984130614
gnomad_exp_lof,0.05316620368638232
gtex_spinal_cord,0.05243950832087592
gnomad_lof_z,0.05240061139891361
CL_0000115_pc,0.052087481198565364
gtex_stomach,0.05046762444514771
CL_0000653_me,0.05046762444514771
CL_1000692_pc,0.05046762444514771
gnomad_exp_hom_lof,0.05046762444514771
CL_1000452_pc,0.05046762444514771
gtex_colon,0.04970622843366
stromal_nTPM,0.048186492979407344
gnomad_pLI,0.04765310849874865
gtex_urinary_bladder,0.047446266308712445
CL_1000849_me,0.04682549191894986
gnomad_oe_lof_upper_rank,0.046043042098945386
