feature,rank_value
max_mgi_kid,5.0
no_paralogues_75,2.5
no_paralogues_85,1.6666666666666665
avg_phasCons_exons,1.25
gnomad_gene_length,0.9333333333333333
gnomad_syn_z,0.9
gnomad_pRec,0.6357142857142857
gnomad_oe_mis_pphen,0.6329365079365079
gnomad_oe_syn,0.5900793650793651
gnomad_pLI,0.5194444444444444
fetal_kidney_tau,0.4135031635031635
gnomad_n_sites,0.3822112527994881
avg_phasCons_promoter,0.3676948051948052
no_paralogues_95,0.36607877416700946
prom_CpG_o2e_ratio,0.32812177502579976
CL_1000452_me,0.31437908496732025
CL_1000692_me,0.3142768780926676
CL_1000768_me,0.25185596567175517
vascular_endothelial_perc_expr,0.22548466026726896
gnomad_mis_z,0.22505017332603539
vascular_endothelial_nTPM,0.22274220905799852
CL_0002306_me,0.2163836163836164
gnomad_oe_lof,0.21502659574468086
CL_0000653_me,0.21326355850116266
gtex_liver,0.21291666666666667
CL_1001111_me,0.20577010708589655
gtex_tau,0.19932075171205604
gnomad_pNull,0.1903968253968254
gnomad_oe_lof_upper_rank,0.19015706515706515
avg_exon_CpG_o2e_ratio,0.18229737759149522
CL_0000115_me,0.16971153846153847
gtex_adrenal_gland,0.1673466857460546
ureteric_bud_perc_expr,0.16557978971772075
CL_1000692_pc,0.15636047522457258
CL_0000653_pc,0.15418474501666352
gnomad_possible_mis_pphen,0.14865689865689866
gnomad_exp_mis_pphen,0.14262061862868314
metanephric_perc_expr,0.1287376678873547
CL_1001431_me,0.1267396251073894
CL_1000849_pc,0.12661857113076624
gtex_skeletal_muscle,0.12586734637133357
CL_1001318_me,0.12552982504202018
gtex_testis,0.11869088993776344
ureteric_bud_nTPM,0.11841190210755428
metanephric_nTPM,0.11607346554155065
gnomad_exp_syn,0.10923603544137961
CL_1001431_pc,0.10338443888193574
CL_1001318_pc,0.10126179764835228
CL_0002306_pc,0.1010324880005731
CL_1000452_pc,0.10025206225724273
CL_1001106_me,0.0993862728649345
CL_1001107_me,0.09768089053803339
gnomad_oe_mis,0.09493197278911564
CL_1001432_me,0.09485380116959063
gnomad_p,0.09419339424365716
CL_1000768_pc,0.09115059803887066
CL_1001111_pc,0.08937693851486955
CL_1001106_pc,0.0850405392147679
stromal_perc_expr,0.08392786458824195
gtex_retina,0.08302726986128625
gnomad_obs_mis_pphen,0.08079067723464275
mesangial_perc_expr,0.07995765618716438
gnomad_obs_lof,0.0797215727325958
gtex_small_intestine,0.07970330138067887
CL_0000115_pc,0.07790182077656699
gnomad_possible_syn,0.07705212543922221
gtex_skin,0.07556624400621327
stromal_nTPM,0.07310339933290753
CL_1000849_me,0.07259485166907739
gtex_pituitary_gland,0.06990150050630581
gnomad_exp_mis,0.06855484434952307
CL_1001107_pc,0.068457740353843
gtex_esophagus,0.06627210229872403
gtex_stomach,0.06580854309687262
gtex_spinal_cord,0.0642908764085344
gtex_vagina,0.06338079988800518
mesangial_nTPM,0.06294591805427718
gnomad_exp_lof,0.0625455412876015
gtex_spleen,0.062383224153960554
CL_1001432_pc,0.0622280796841356
gtex_colon,0.062083677508637615
gnomad_lof_z,0.061961049195091746
gtex_kidney,0.06100562982585454
gnomad_cds_length,0.060850585584628136
gnomad_mu_syn,0.05912027346551156
gnomad_obs_syn,0.05902046569736046
gtex_brain_median,0.05885903668413016
gtex_salivary_gland,0.058585680069925185
gtex_cervix,0.05836221296675141
gtex_adipose_tissue,0.05723324250143455
gnomad_possible_lof,0.055797579353995146
gtex_ovary,0.05459194070694772
gnomad_max_af,0.053937265179531964
gnomad_classic_caf,0.0533591673774119
gtex_thyroid_gland,0.05316806401295857
gtex_lung,0.05294672444552059
gtex_fallopian_tube,0.0525604946686791
gnomad_mu_lof,0.052226540589224345
gtex_heart_muscle,0.05221903351838955
gtex_pancreas,0.05191663175534143
gnomad_possible_mis,0.05184919272229847
gtex_endometrium,0.05031327875055547
gtex_breast,0.04954982893968317
gnomad_num_coding_exons,0.04861337191776692
gnomad_exp_hom_lof,0.04856200631224068
gtex_prostate,0.04819204700776417
gtex_urinary_bladder,0.048186291586380166
gnomad_mu_mis,0.046642436829352714
gnomad_obs_mis,0.045871559633027525
