,feature,perm_imp,scoring
108,fetal_kidney_tau,0.05742151165101803,roc_auc
107,prom_CpG_o2e_ratio,0.04964661361233234,roc_auc
106,avg_phasCons_exons,0.049140583385672176,roc_auc
105,avg_exon_CpG_o2e_ratio,0.04900662251655628,roc_auc
104,gnomad_oe_lof_upper_rank,0.048778849288059575,roc_auc
103,gtex_tau,0.04860354737921661,roc_auc
102,gnomad_oe_lof,0.047915457573757946,roc_auc
101,gnomad_oe_mis_pphen,0.0461739662752519,roc_auc
100,gnomad_pRec,0.045088763982414196,roc_auc
99,gnomad_syn_z,0.04482362481416411,roc_auc
98,gnomad_n_sites,0.044231334918073205,roc_auc
97,gnomad_oe_syn,0.04414666528863198,roc_auc
96,gnomad_lof_z,0.04305271777585211,roc_auc
95,gnomad_pNull,0.042863105507103504,roc_auc
94,gnomad_obs_lof,0.04236343544040131,roc_auc
93,gnomad_num_coding_exons,0.0423129516707345,roc_auc
92,gnomad_oe_mis,0.04221476670138256,roc_auc
91,gnomad_mis_z,0.04150123625609188,roc_auc
90,gnomad_exp_lof,0.039436171819721234,roc_auc
89,gnomad_obs_mis_pphen,0.03934474452032466,roc_auc
88,gnomad_mu_lof,0.03906609001216384,roc_auc
87,gnomad_possible_lof,0.038992948172646605,roc_auc
86,avg_phasCons_promoter,0.03852388637574233,roc_auc
85,gnomad_obs_mis,0.038407813456508476,roc_auc
84,max_mgi_kid,0.03821700865776767,roc_auc
83,gnomad_cds_length,0.03715724700476215,roc_auc
82,gnomad_possible_syn,0.03708927279521081,roc_auc
81,gnomad_obs_syn,0.037088080265218704,roc_auc
80,gnomad_exp_syn,0.03703799400554926,roc_auc
79,gnomad_possible_mis,0.037019311035672534,roc_auc
78,gnomad_exp_mis,0.03691556092635726,roc_auc
77,gnomad_exp_mis_pphen,0.036402375519744304,roc_auc
76,gnomad_possible_mis_pphen,0.03624575658077804,roc_auc
75,gnomad_mu_mis,0.03590230794304474,roc_auc
74,gnomad_mu_syn,0.03545431417600153,roc_auc
73,no_paralogues_75,0.032694004754219505,roc_auc
72,ureteric_bud_perc_expr,0.02433118942941408,roc_auc
71,gnomad_gene_length,0.02421233394019855,roc_auc
70,no_paralogues_85,0.02324081950661061,roc_auc
69,metanephric_perc_expr,0.02313269678732417,roc_auc
68,CL_0002306_me,0.02271292623009471,roc_auc
